,genotype,score,VM_dry,VM_wet,VM_dw_percent,CH_dry,CH_wet,CH_dw_percent,TB_0003,TB_0037,TB_0095,TB_0239,TB_0335,TB_0368,TB_0382,TB_0386,TB_0433,TB_0436,TB_0446,TB_0462,TB_0476,TB_0508,TB_0509,TB_0581,TB_0612
14,TB_0109,0,2.8532333333,2.2148666667,1.2882190049,289.1666666667,420.5,0.6876734047,67.1118469423,52.0768662652,46,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,52.0768662652,52.0768662652,52.0768662652,67.1118469423,59.1945943478
78,TB_0401,0.5,3.7085,3.3874166667,1.0947870796,342.5,499.8333333333,0.6852284095,67.1118469423,52.0768662652,46,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,52.0768662652,52.0768662652,52.0768662652,67.1118469423,59.1945943478
13,TB_0107,0,3.7206,2.60085,1.430532326,478.8333333333,520,0.9208333333,67.1118469423,54.881690936,54.881690936,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,54.881690936,54.881690936,54.881690936,67.1118469423,59.1945943478
109,TB_0544,0,1.6813833333,1.94795,0.8631552829,330.6666666667,311,1.0632368703,67.1118469423,54.881690936,54.881690936,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,54.881690936,54.881690936,54.881690936,67.1118469423,59.1945943478
118,TB_0577,0.5,1.6632166667,1.6512166667,1.0072673685,411.1666666667,461,0.8919016631,67.1118469423,54.881690936,54.881690936,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,54.881690936,54.881690936,54.881690936,67.1118469423,59.1945943478
123,TB_0598,0.5,2.6372,2.6746166667,0.9860104563,449.5,399.1666666667,1.1260960334,67.1118469423,54.881690936,54.881690936,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,54.881690936,54.881690936,54.881690936,67.1118469423,59.1945943478
125,TB_0606,0,1.29775,1.64715,0.7878760283,418,384.3333333333,1.0875975716,67.1118469423,54.881690936,54.881690936,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,54.881690936,54.881690936,54.881690936,67.1118469423,59.1945943478
98,TB_0493,0.5,1.3380333333,1.3979833333,0.9571167992,397.8333333333,423.8333333333,0.9386551317,32.1247568084,67.1118469423,67.1118469423,30.4630924235,40.6448028658,48.579831206,56.4269439187,56.4269439187,27.6405499222,19.6977156036,24.3310501212,48.579831206,67.1118469423,67.1118469423,67.1118469423,19.6977156036,67.1118469423
35,TB_0211,0.5,0.6323333333,0.6431166667,0.9832326949,311.8333333333,280.8333333333,1.1103857567,32.1247568084,67.1118469423,67.1118469423,30.4630924235,40.6448028658,48.579831206,56.4269439187,56.4269439187,27.6405499222,21.6333076528,24.3310501212,48.579831206,67.1118469423,67.1118469423,67.1118469423,21.6333076528,67.1118469423
65,TB_0344,0,0.8195333333,0.8009,1.023265493,208.5,199.6666666667,1.0442404007,32.1247568084,67.1118469423,67.1118469423,30.4630924235,40.6448028658,48.579831206,56.4269439187,56.4269439187,27.6405499222,22.2710574513,24.3310501212,48.579831206,67.1118469423,67.1118469423,67.1118469423,22.2710574513,67.1118469423
87,TB_0437,0,1.44735,1.6515833333,0.876340885,448.5,498.8333333333,0.8990978951,32.1247568084,67.1118469423,67.1118469423,30.4630924235,40.6448028658,48.579831206,56.4269439187,56.4269439187,27.6405499222,23.8327505756,24.3310501212,48.579831206,67.1118469423,67.1118469423,67.1118469423,23.8327505756,67.1118469423
83,TB_0414,0.5,2.31595,2.1674,1.0685383409,494.5,565,0.8752212389,32.1247568084,67.1118469423,67.1118469423,30.4630924235,40.6448028658,48.579831206,56.4269439187,56.4269439187,29.9332590942,29.9332590942,29.9332590942,48.579831206,67.1118469423,67.1118469423,67.1118469423,29.9332590942,67.1118469423
39,TB_0260,0,0.7092,0.6576333333,1.0784124892,229,244,0.9385245902,32.1247568084,67.1118469423,67.1118469423,27.2029410175,40.6448028658,48.579831206,56.4269439187,56.4269439187,30.4630924235,30.4630924235,30.4630924235,48.579831206,67.1118469423,67.1118469423,67.1118469423,30.4630924235,67.1118469423
25,TB_0154,0.5,0.4373166667,0.4495166667,0.9728597382,143.5,150.8333333333,0.9513812155,32.1247568084,67.1118469423,67.1118469423,28.3548937575,40.6448028658,48.579831206,56.4269439187,56.4269439187,30.4630924235,30.4630924235,30.4630924235,48.579831206,67.1118469423,67.1118469423,67.1118469423,30.4630924235,67.1118469423
85,TB_0428,0.5,1.03725,1.0495666667,0.9882649983,277.8333333333,328.1666666667,0.8466226511,32.1247568084,67.1118469423,67.1118469423,28.3548937575,40.6448028658,48.579831206,56.4269439187,56.4269439187,30.4630924235,30.4630924235,30.4630924235,48.579831206,67.1118469423,67.1118469423,67.1118469423,30.4630924235,67.1118469423
21,TB_0135,0.5,0.64585,0.6678166667,0.9671067409,233.1666666667,247.6666666667,0.9414535666,27.5680975042,67.1118469423,67.1118469423,32.1247568084,40.6448028658,48.579831206,56.4269439187,56.4269439187,32.1247568084,32.1247568084,32.1247568084,48.579831206,67.1118469423,67.1118469423,67.1118469423,32.1247568084,67.1118469423
22,TB_0137,0.5,0.63255,1.0197,0.6203295087,328.6666666667,402,0.8175787728,27.5680975042,67.1118469423,67.1118469423,32.1247568084,40.6448028658,48.579831206,56.4269439187,56.4269439187,32.1247568084,32.1247568084,32.1247568084,48.579831206,67.1118469423,67.1118469423,67.1118469423,32.1247568084,67.1118469423
24,TB_0148,0,0.3990166667,0.511,0.7808545336,159.3333333333,213.3333333333,0.746875,30.1993377411,67.1118469423,67.1118469423,32.1247568084,40.6448028658,48.579831206,56.4269439187,56.4269439187,32.1247568084,32.1247568084,32.1247568084,48.579831206,67.1118469423,67.1118469423,67.1118469423,32.1247568084,67.1118469423
28,TB_0159,0,0.84815,1.2619833333,0.6720770216,386.6666666667,428,0.9034267913,30.1993377411,67.1118469423,67.1118469423,32.1247568084,40.6448028658,48.579831206,56.4269439187,56.4269439187,32.1247568084,32.1247568084,32.1247568084,48.579831206,67.1118469423,67.1118469423,67.1118469423,32.1247568084,67.1118469423
20,TB_0130,0.5,2.0245833333,2.45045,0.8262087916,317.6666666667,341.8333333333,0.9293027791,40.6448028658,67.1118469423,67.1118469423,40.6448028658,37.947331922,48.579831206,56.4269439187,56.4269439187,40.6448028658,40.6448028658,40.6448028658,48.579831206,67.1118469423,67.1118469423,67.1118469423,40.6448028658,67.1118469423
76,TB_0381,0.5,2.0340666667,3.6655166667,0.5549194975,496,545,0.9100917431,44.6766158074,67.1118469423,67.1118469423,44.6766158074,44.6766158074,48.579831206,56.4269439187,56.4269439187,44.6766158074,44.6766158074,44.6766158074,48.579831206,67.1118469423,67.1118469423,67.1118469423,44.6766158074,67.1118469423
17,TB_0125,0.5,0.9071833333,1.0109,0.8974016553,328.6666666667,277.3333333333,1.1850961538,48.579831206,67.1118469423,67.1118469423,48.579831206,48.579831206,34.5253530033,56.4269439187,56.4269439187,48.579831206,48.579831206,48.579831206,40.049968789,67.1118469423,67.1118469423,67.1118469423,48.579831206,67.1118469423
29,TB_0167,0.5,1.6426666667,1.7701666667,0.9279728839,351.1666666667,455.1666666667,0.7715122666,54.918120871,67.1118469423,67.1118469423,54.918120871,54.918120871,54.918120871,56.4269439187,56.4269439187,54.918120871,54.918120871,54.918120871,54.918120871,67.1118469423,67.1118469423,67.1118469423,54.918120871,67.1118469423
10,TB_0064,0.5,3.5226,5.0772,0.6938076105,598.3333333333,788.3333333333,0.7589852008,56.4269439187,67.1118469423,67.1118469423,56.4269439187,56.4269439187,56.4269439187,55.2449092677,47.1593044902,56.4269439187,56.4269439187,56.4269439187,56.4269439187,67.1118469423,67.1118469423,67.1118469423,56.4269439187,67.1118469423
31,TB_0191,0.5,5.23745,3.3858666667,1.5468565409,468.1666666667,615.5,0.7606282155,56.4269439187,67.1118469423,67.1118469423,56.4269439187,56.4269439187,56.4269439187,55.2449092677,47.1593044902,56.4269439187,56.4269439187,56.4269439187,56.4269439187,67.1118469423,67.1118469423,67.1118469423,56.4269439187,67.1118469423
32,TB_0201,0,5.7127333333,6.6728,0.8561223674,766.1666666667,896.5,0.8546198178,56.4269439187,67.1118469423,67.1118469423,56.4269439187,56.4269439187,56.4269439187,55.2449092677,47.1593044902,56.4269439187,56.4269439187,56.4269439187,56.4269439187,67.1118469423,67.1118469423,67.1118469423,56.4269439187,67.1118469423
92,TB_0471,0.5,4.4959833333,4.9366833333,0.9107295384,853.6666666667,648.8333333333,1.3156948369,56.4269439187,67.1118469423,67.1118469423,56.4269439187,56.4269439187,56.4269439187,55.2449092677,47.1593044902,56.4269439187,56.4269439187,56.4269439187,56.4269439187,67.1118469423,67.1118469423,67.1118469423,56.4269439187,67.1118469423
104,TB_0529,0,2.44605,1.4406166667,1.6979187154,325.8333333333,242,1.3464187328,56.4269439187,67.1118469423,67.1118469423,56.4269439187,56.4269439187,56.4269439187,55.2449092677,47.1593044902,56.4269439187,56.4269439187,56.4269439187,56.4269439187,67.1118469423,67.1118469423,67.1118469423,56.4269439187,67.1118469423
30,TB_0169,0,1.2312333333,1.83425,0.6712461951,436.6666666667,406.5,1.0742107421,56.4269439187,67.1118469423,67.1118469423,56.4269439187,56.4269439187,56.4269439187,55.2449092677,52.6497863244,56.4269439187,56.4269439187,56.4269439187,56.4269439187,67.1118469423,67.1118469423,67.1118469423,56.4269439187,67.1118469423
41,TB_0266,0,1.8257333333,1.5035333333,1.2142952157,299.8333333333,300.6666666667,0.9972283814,56.4269439187,67.1118469423,67.1118469423,56.4269439187,56.4269439187,56.4269439187,55.2449092677,52.6497863244,56.4269439187,56.4269439187,56.4269439187,56.4269439187,67.1118469423,67.1118469423,67.1118469423,56.4269439187,67.1118469423
42,TB_0267,0,4.5722333333,4.4436,1.0289480001,435.6666666667,642.6666666667,0.6779045643,56.4269439187,67.1118469423,67.1118469423,56.4269439187,56.4269439187,56.4269439187,55.2449092677,52.6497863244,56.4269439187,56.4269439187,56.4269439187,56.4269439187,67.1118469423,67.1118469423,67.1118469423,56.4269439187,67.1118469423
79,TB_0402,0,1.9424833333,2.70775,0.7173791278,420.8333333333,486.8333333333,0.8644299897,56.4269439187,67.1118469423,67.1118469423,56.4269439187,56.4269439187,56.4269439187,55.2449092677,52.6497863244,56.4269439187,56.4269439187,56.4269439187,56.4269439187,67.1118469423,67.1118469423,67.1118469423,56.4269439187,67.1118469423
105,TB_0530,0.5,1.01975,2.3525333333,0.4334688846,362.3333333333,412.6666666667,0.8780290792,56.4269439187,67.1118469423,67.1118469423,56.4269439187,56.4269439187,56.4269439187,55.2449092677,52.6497863244,56.4269439187,56.4269439187,56.4269439187,56.4269439187,67.1118469423,67.1118469423,67.1118469423,56.4269439187,67.1118469423
106,TB_0531,0,5.4354,4.1777833333,1.3010248657,347.1666666667,416.6666666667,0.8332,56.4269439187,67.1118469423,67.1118469423,56.4269439187,56.4269439187,56.4269439187,55.2449092677,52.6497863244,56.4269439187,56.4269439187,56.4269439187,56.4269439187,67.1118469423,67.1118469423,67.1118469423,56.4269439187,67.1118469423
110,TB_0547,0,4.7136166667,4.1323166667,1.1406716975,577.6666666667,572.6666666667,1.0087310827,56.4269439187,67.1118469423,67.1118469423,56.4269439187,56.4269439187,56.4269439187,55.2449092677,52.6497863244,56.4269439187,56.4269439187,56.4269439187,56.4269439187,67.1118469423,67.1118469423,67.1118469423,56.4269439187,67.1118469423
114,TB_0554,0,2.00455,2.1384666667,0.9373772485,406.6666666667,448.8333333333,0.9060527293,56.4269439187,67.1118469423,67.1118469423,56.4269439187,56.4269439187,56.4269439187,55.2449092677,52.6497863244,56.4269439187,56.4269439187,56.4269439187,56.4269439187,67.1118469423,67.1118469423,67.1118469423,56.4269439187,67.1118469423
128,TB_0640,0,2.1952666667,2.2574166667,0.9724685297,395.3333333333,420.5,0.9401506143,56.4269439187,67.1118469423,67.1118469423,56.4269439187,56.4269439187,56.4269439187,55.2449092677,52.6497863244,56.4269439187,56.4269439187,56.4269439187,56.4269439187,67.1118469423,67.1118469423,67.1118469423,56.4269439187,67.1118469423
126,TB_0610,0.5,1.6104833333,1.8106,0.8894749438,330.6666666667,304.6666666667,1.0853391685,56.4269439187,67.1118469423,67.1118469423,56.4269439187,56.4269439187,56.4269439187,39.0896405714,55.2449092677,56.4269439187,56.4269439187,56.4269439187,56.4269439187,67.1118469423,67.1118469423,67.1118469423,56.4269439187,67.1118469423
74,TB_0362,0.5,0.6069833333,0.8387333333,0.7236904857,257.1666666667,256.6666666667,1.0019480519,56.4269439187,67.1118469423,67.1118469423,56.4269439187,56.4269439187,56.4269439187,45.519226707,55.2449092677,56.4269439187,56.4269439187,56.4269439187,56.4269439187,67.1118469423,67.1118469423,67.1118469423,56.4269439187,67.1118469423
124,TB_0605,0,1.0292333333,1.8245666667,0.5640974113,280.1666666667,339.6666666667,0.824828263,56.4269439187,67.1118469423,67.1118469423,56.4269439187,56.4269439187,56.4269439187,45.519226707,55.2449092677,56.4269439187,56.4269439187,56.4269439187,56.4269439187,67.1118469423,67.1118469423,67.1118469423,56.4269439187,67.1118469423
96,TB_0487,0,1.7529,2.745,0.638579235,321,408.3333333333,0.786122449,56.4269439187,67.1118469423,67.1118469423,56.4269439187,56.4269439187,56.4269439187,48.9080770425,55.2449092677,56.4269439187,56.4269439187,56.4269439187,56.4269439187,67.1118469423,67.1118469423,67.1118469423,56.4269439187,67.1118469423
111,TB_0549,0.5,1.3346833333,1.7154333333,0.7780444203,411.8333333333,376.3333333333,1.0943312666,56.4269439187,67.1118469423,67.1118469423,56.4269439187,56.4269439187,56.4269439187,48.9080770425,55.2449092677,56.4269439187,56.4269439187,56.4269439187,56.4269439187,67.1118469423,67.1118469423,67.1118469423,56.4269439187,67.1118469423
86,TB_0434,0,1.0362833333,0.5891166667,1.7590460294,219.8333333333,244.1666666667,0.9003412969,56.4269439187,67.1118469423,67.1118469423,56.4269439187,56.4269439187,56.4269439187,52.1919534028,55.2449092677,56.4269439187,56.4269439187,56.4269439187,56.4269439187,67.1118469423,67.1118469423,67.1118469423,56.4269439187,67.1118469423
18,TB_0127,0,0.7328,1.0433666667,0.7023417782,238.6666666667,247.6666666667,0.9636608345,56.4269439187,67.1118469423,67.1118469423,56.4269439187,56.4269439187,56.4269439187,53.5910440279,55.2449092677,56.4269439187,56.4269439187,56.4269439187,56.4269439187,67.1118469423,67.1118469423,67.1118469423,56.4269439187,67.1118469423
48,TB_0282,0,1.1736,1.2354166667,0.9499629005,513.3333333333,486.1666666667,1.0558793281,56.4269439187,67.1118469423,67.1118469423,56.4269439187,56.4269439187,56.4269439187,53.5910440279,55.2449092677,56.4269439187,56.4269439187,56.4269439187,56.4269439187,67.1118469423,67.1118469423,67.1118469423,56.4269439187,67.1118469423
56,TB_0315,0.5,0.7791333333,0.50515,1.5423801511,179.5,155.3333333333,1.1555793991,56.4269439187,67.1118469423,67.1118469423,56.4269439187,56.4269439187,56.4269439187,53.5910440279,55.2449092677,56.4269439187,56.4269439187,56.4269439187,56.4269439187,67.1118469423,67.1118469423,67.1118469423,56.4269439187,67.1118469423
